CD_NUMBER,TRACK_NUMBER,TITLE,ARTIST,DURATION,GENRE
1,2,Swim,Madonna,4:00,Pop
1,4,Candy Perfume Girl,Madonna,4:36,Electronic Pop
1,8,Shanti/Ashtangi,Madonna,4:29,Electronic Pop
1,11,To Have and Not to Hold,Madonna,5:23,Electronic Pop
2,2,You,Janet Jackson,4:42,Trip Hop
2,5,Together Again,Janet Jackson,5:01,Dance Pop
2,8,Special,Janet Jackson,4:57,R&B
3,1,Army of Me,Björk,3:54,Art Pop
3,5,It's Oh So Quiet,Björk,3:38,Art Pop
3,8,I Miss You,Björk,4:04,Art Pop
4,1,The Queen is Dead,The Smiths,6:24,Rock
4,3,I Know It's Over,The Smiths,5:49,Indie Rock
4,7,The Boy with the Thorn in His Side,The Smiths,3:16,Indie Rock
4,9,There Is a Light That Never Goes Out,The Smiths,4:03,Indie Rock
4,10,Some Girls Are Bigger Than Others,The Smiths,3:14,Rock
5,2,Beautiful,Christina Aguilera,4:00,Pop
5,4,Cruz,Christina Aguilera,3:49,Pop
5,10,Keep on Singin' My Song,Christina Aguilera,6:31,Pop
6,1,...Baby One More Time,Britney Spears,3:30,Pop
6,3,Sometimes,Britney Spears,4:05,Pop
6,6,From the Bottom of My Broken Heart,Britney Spears,5:11,Pop
